Date,Open,High,Low,Close,Volume
1-Jun-07,250.25,252.26,248.72,249.95,-
31-May-07,250.03,254.14,248.28,248.71,-
30-May-07,242.01,249.17,241.26,249.05,-
29-May-07,242.26,245.65,241.76,243.31,-
25-May-07,239.61,242.23,238.40,241.52,-
24-May-07,237.34,239.36,235.51,236.93,-
23-May-07,240.17,241.46,236.64,236.75,-
22-May-07,236.26,239.27,236.26,237.69,-
21-May-07,234.53,239.36,233.13,235.06,-
18-May-07,235.78,236.11,234.64,234.92,-
17-May-07,235.99,237.37,235.17,235.24,-
16-May-07,230.77,236.33,229.28,236.07,-
15-May-07,230.75,231.04,228.48,228.77,-
14-May-07,232.51,233.52,229.77,230.66,-
11-May-07,230.68,233.27,230.27,233.14,-
10-May-07,233.29,234.51,230.28,230.50,-
9-May-07,232.84,235.63,231.71,234.39,-
8-May-07,232.83,233.85,232.13,233.17,-
7-May-07,235.83,236.17,233.00,233.40,-
4-May-07,234.82,237.18,232.71,235.32,-
3-May-07,232.88,236.80,232.41,236.38,-
2-May-07,234.09,235.30,232.63,232.66,-
1-May-07,235.86,236.17,231.85,234.27,-
30-Apr-07,239.34,240.43,235.45,235.45,-
27-Apr-07,239.79,240.96,238.93,239.27,-
26-Apr-07,238.81,241.98,238.32,240.35,-
25-Apr-07,239.76,240.44,237.82,238.76,-
24-Apr-07,239.07,239.75,237.54,238.53,-
23-Apr-07,239.81,242.26,238.89,239.30,-
20-Apr-07,245.01,246.00,240.77,241.00,-
19-Apr-07,237.01,240.73,234.56,235.59,-
18-Apr-07,235.39,239.71,234.53,237.77,-
17-Apr-07,236.66,237.96,235.56,236.16,-
16-Apr-07,233.99,238.26,233.84,236.90,-
13-Apr-07,233.99,234.15,231.45,232.91,-
12-Apr-07,231.77,233.77,230.89,233.46,-
11-Apr-07,232.80,234.47,231.07,232.03,-
10-Apr-07,233.31,235.16,232.35,233.02,-
9-Apr-07,236.25,236.26,232.56,233.87,-
5-Apr-07,235.41,235.81,234.58,235.52,-
4-Apr-07,235.83,236.26,234.56,235.27,-
3-Apr-07,231.79,236.89,231.77,236.06,-
2-Apr-07,228.65,229.04,225.83,229.04,-
30-Mar-07,230.82,231.47,227.84,228.85,-
29-Mar-07,232.04,232.77,227.27,230.23,-
28-Mar-07,230.70,232.49,229.84,230.71,-
27-Mar-07,231.54,232.38,229.94,231.58,-
26-Mar-07,230.04,232.27,227.58,232.27,-
23-Mar-07,230.49,231.46,228.31,230.68,-
22-Mar-07,227.58,230.85,226.04,230.79,-
21-Mar-07,222.43,228.06,222.38,228.05,-
20-Mar-07,222.67,223.58,221.58,222.42,-
19-Mar-07,221.40,224.03,220.09,223.39,-
16-Mar-07,222.60,223.13,219.73,220.20,-
15-Mar-07,223.71,224.69,221.75,222.87,-
14-Mar-07,221.39,224.11,219.28,223.78,-
13-Mar-07,224.83,225.74,221.19,221.29,-
12-Mar-07,226.06,227.40,225.33,227.15,-
9-Mar-07,228.77,228.97,224.82,226.25,-
8-Mar-07,229.38,232.52,226.82,227.13,-
7-Mar-07,231.11,231.34,226.92,227.59,-
6-Mar-07,223.51,229.27,223.47,228.55,-
5-Mar-07,218.29,222.53,218.28,220.25,-
2-Mar-07,222.33,224.13,219.12,219.12,-
1-Mar-07,221.11,225.98,219.78,223.89,-
28-Feb-07,224.98,226.61,221.30,224.50,-
27-Feb-07,227.27,229.67,223.36,224.16,-
26-Feb-07,236.18,237.39,231.64,232.23,-
23-Feb-07,237.64,238.24,233.67,235.07,-
22-Feb-07,239.11,241.88,236.96,237.69,-
21-Feb-07,234.69,239.10,233.64,237.69,-
20-Feb-07,234.00,236.14,232.12,235.81,-
16-Feb-07,231.17,234.84,230.80,234.74,-
15-Feb-07,232.77,232.83,230.13,230.50,-
14-Feb-07,229.77,234.33,229.38,232.73,-
13-Feb-07,229.35,231.16,228.40,229.32,-
12-Feb-07,230.11,230.96,227.28,228.92,-
9-Feb-07,235.59,236.10,230.52,230.71,-
8-Feb-07,233.79,236.64,232.34,235.28,-
7-Feb-07,236.67,236.94,234.16,234.77,-
6-Feb-07,233.82,236.41,233.40,235.50,-
5-Feb-07,238.51,238.76,232.86,233.35,-
2-Feb-07,241.06,242.26,238.67,240.51,-
1-Feb-07,252.75,252.75,240.52,240.63,-
31-Jan-07,248.00,252.25,247.51,250.50,-
30-Jan-07,246.75,248.75,245.36,246.91,-
29-Jan-07,248.75,249.13,245.00,245.99,-
26-Jan-07,245.22,248.70,243.27,247.67,-
25-Jan-07,250.25,252.00,242.59,243.80,-
24-Jan-07,241.98,249.52,241.40,249.28,-
23-Jan-07,240.15,242.13,238.41,239.29,-
22-Jan-07,246.00,246.08,239.01,240.18,-
19-Jan-07,243.75,245.13,243.13,244.63,-
18-Jan-07,247.01,247.99,243.47,243.67,-
17-Jan-07,251.45,253.63,246.94,248.39,-
16-Jan-07,253.52,256.24,251.40,251.89,-
12-Jan-07,250.74,252.25,249.75,252.25,-
11-Jan-07,248.35,250.62,247.84,249.61,-
10-Jan-07,241.97,246.53,240.78,244.49,-
9-Jan-07,242.48,243.88,240.36,242.51,-
8-Jan-07,243.60,244.69,240.86,241.55,-
5-Jan-07,241.01,243.51,238.82,243.35,-
4-Jan-07,234.27,241.73,233.94,241.39,-
3-Jan-07,232.77,238.09,230.32,233.56,-
29-Dec-06,230.82,232.00,229.70,230.01,-
28-Dec-06,233.33,234.06,230.89,231.05,-
27-Dec-06,229.77,233.81,229.32,233.78,-
26-Dec-06,228.03,229.51,227.07,228.54,-
22-Dec-06,228.52,229.09,226.14,227.56,-
21-Dec-06,231.86,232.39,225.94,227.87,-
20-Dec-06,234.76,235.51,230.93,231.22,-
19-Dec-06,230.63,234.42,229.02,234.08,-
18-Dec-06,241.01,241.13,230.13,231.17,-
15-Dec-06,241.08,241.81,239.68,239.91,-
14-Dec-06,239.88,241.63,238.39,240.82,-
13-Dec-06,242.10,242.51,238.27,239.26,-
12-Dec-06,241.68,242.94,239.90,240.65,-
11-Dec-06,242.22,244.21,241.66,241.72,-
8-Dec-06,240.73,244.06,239.76,241.81,-
7-Dec-06,244.87,245.65,240.97,241.08,-
6-Dec-06,243.24,245.95,242.02,244.11,-
5-Dec-06,243.46,244.48,242.20,243.26,-
4-Dec-06,241.26,243.47,239.44,242.18,-
1-Dec-06,242.75,243.95,239.01,240.16,-
30-Nov-06,241.85,244.95,240.53,242.16,-
29-Nov-06,246.87,247.12,240.88,242.08,-
28-Nov-06,240.32,244.69,238.28,244.51,-
27-Nov-06,250.43,250.64,242.13,242.13,-
24-Nov-06,252.00,253.50,251.70,252.20,-
22-Nov-06,255.23,256.24,252.64,253.75,-
21-Nov-06,248.02,254.74,247.67,254.57,-
20-Nov-06,248.95,248.95,246.08,247.28,-
